index,start_time,event,empty_subdir,exists,file_count,path,query,records,attempts,status,error
60,2014/2/12 15:41,20140212_154100_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.Ic_45s,,,,,
60,2014/2/12 15:41,20140212_154100_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.B_720s,,,,,
103,2015/3/11 7:10,20150311_071000_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_071000_UTC\hmi.Ic_45s,,,,,
103,2015/3/11 7:10,20150311_071000_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_071000_UTC\hmi.B_720s,,,,,
104,2015/3/11 7:51,20150311_075100_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_075100_UTC\hmi.B_720s,,,,,
105,2015/3/11 18:37,20150311_183700_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_183700_UTC\hmi.B_720s,,,,,
120,2015/6/21 2:06,20150621_020600_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\131,,,,,
120,2015/6/21 2:06,20150621_020600_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\211,,,,,
120,2015/6/21 2:06,20150621_020600_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\304,,,,,
120,2015/6/21 2:06,20150621_020600_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\hmi.Ic_45s,,,,,
121,2015/6/22 17:39,20150622_173900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\131,,,,,
121,2015/6/22 17:39,20150622_173900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\211,,,,,
121,2015/6/22 17:39,20150622_173900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\304,,,,,
121,2015/6/22 17:39,20150622_173900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\hmi.Ic_45s,,,,,
122,2015/8/22 6:39,20150822_063900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\131,,,,,
122,2015/8/22 6:39,20150822_063900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\211,,,,,
122,2015/8/22 6:39,20150822_063900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\304,,,,,
122,2015/8/22 6:39,20150822_063900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\hmi.Ic_45s,,,,,
123,2015/8/22 21:19,20150822_211900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\131,,,,,
123,2015/8/22 21:19,20150822_211900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\211,,,,,
123,2015/8/22 21:19,20150822_211900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\304,,,,,
123,2015/8/22 21:19,20150822_211900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\hmi.Ic_45s,,,,,
124,2015/8/24 7:26,20150824_072600_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\131,,,,,
124,2015/8/24 7:26,20150824_072600_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\211,,,,,
124,2015/8/24 7:26,20150824_072600_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\304,,,,,
124,2015/8/24 7:26,20150824_072600_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\hmi.Ic_45s,,,,,
125,2015/8/24 17:40,20150824_174000_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\131,,,,,
125,2015/8/24 17:40,20150824_174000_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\211,,,,,
125,2015/8/24 17:40,20150824_174000_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\304,,,,,
