index,start_time,event,empty_subdir,exists,file_count,path,query,records,attempts,status,error
60,2014/2/12 15:41,20140212_154100_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.Ic_45s,hmi.Ic_45s[2014.02.12_15:11:35_TAI-2014.02.12_15:51:35_TAI]{continuum},55,1,ok,
60,2014/2/12 15:41,20140212_154100_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.B_720s,"hmi.B_720s[2014.02.12_15:36:00_TAI]{field,inclination,azimuth,disambig}",1,1,ok,
103,2015/3/11 7:10,20150311_071000_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_071000_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.03.11_06:40:35_TAI-2015.03.11_07:20:35_TAI]{continuum},54,1,ok,
103,2015/3/11 7:10,20150311_071000_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_071000_UTC\hmi.B_720s,"hmi.B_720s[2015.03.11_07:00:00_TAI]{field,inclination,azimuth,disambig}",1,1,ok,
104,2015/3/11 7:51,20150311_075100_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_075100_UTC\hmi.B_720s,"hmi.B_720s[2015.03.11_07:48:00_TAI]{field,inclination,azimuth,disambig}",1,1,ok,
105,2015/3/11 18:37,20150311_183700_UTC,hmi.B_720s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150311_183700_UTC\hmi.B_720s,"hmi.B_720s[2015.03.11_18:36:00_TAI]{field,inclination,azimuth,disambig}",1,1,ok,
120,2015/6/21 2:06,20150621_020600_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\131,aia.lev1_euv_12s[2015.06.21_01:36:35_TAI-2015.06.21_02:16:35_TAI@36s][131]{image},67,1,ok,
120,2015/6/21 2:06,20150621_020600_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\211,aia.lev1_euv_12s[2015.06.21_01:36:35_TAI-2015.06.21_02:16:35_TAI@36s][211]{image},67,1,ok,
120,2015/6/21 2:06,20150621_020600_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\304,aia.lev1_euv_12s[2015.06.21_01:36:35_TAI-2015.06.21_02:16:35_TAI@36s][304]{image},67,1,ok,
120,2015/6/21 2:06,20150621_020600_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150621_020600_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.06.21_01:36:35_TAI-2015.06.21_02:16:35_TAI]{continuum},54,1,ok,
121,2015/6/22 17:39,20150622_173900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\131,aia.lev1_euv_12s[2015.06.22_17:09:35_TAI-2015.06.22_17:49:35_TAI@36s][131]{image},67,1,ok,
121,2015/6/22 17:39,20150622_173900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\211,aia.lev1_euv_12s[2015.06.22_17:09:35_TAI-2015.06.22_17:49:35_TAI@36s][211]{image},67,1,ok,
121,2015/6/22 17:39,20150622_173900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\304,aia.lev1_euv_12s[2015.06.22_17:09:35_TAI-2015.06.22_17:49:35_TAI@36s][304]{image},67,1,ok,
121,2015/6/22 17:39,20150622_173900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150622_173900_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.06.22_17:09:35_TAI-2015.06.22_17:49:35_TAI]{continuum},54,1,ok,
122,2015/8/22 6:39,20150822_063900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\131,aia.lev1_euv_12s[2015.08.22_06:09:36_TAI-2015.08.22_06:49:36_TAI@36s][131]{image},67,1,ok,
122,2015/8/22 6:39,20150822_063900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\211,aia.lev1_euv_12s[2015.08.22_06:09:36_TAI-2015.08.22_06:49:36_TAI@36s][211]{image},67,1,ok,
122,2015/8/22 6:39,20150822_063900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\304,aia.lev1_euv_12s[2015.08.22_06:09:36_TAI-2015.08.22_06:49:36_TAI@36s][304]{image},67,1,ok,
122,2015/8/22 6:39,20150822_063900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_063900_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.08.22_06:09:36_TAI-2015.08.22_06:49:36_TAI]{continuum},54,1,ok,
123,2015/8/22 21:19,20150822_211900_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\131,aia.lev1_euv_12s[2015.08.22_20:49:36_TAI-2015.08.22_21:29:36_TAI@36s][131]{image},67,1,ok,
123,2015/8/22 21:19,20150822_211900_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\211,aia.lev1_euv_12s[2015.08.22_20:49:36_TAI-2015.08.22_21:29:36_TAI@36s][211]{image},66,1,ok,
123,2015/8/22 21:19,20150822_211900_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\304,aia.lev1_euv_12s[2015.08.22_20:49:36_TAI-2015.08.22_21:29:36_TAI@36s][304]{image},67,1,ok,
123,2015/8/22 21:19,20150822_211900_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150822_211900_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.08.22_20:49:36_TAI-2015.08.22_21:29:36_TAI]{continuum},54,1,ok,
124,2015/8/24 7:26,20150824_072600_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\131,aia.lev1_euv_12s[2015.08.24_06:56:36_TAI-2015.08.24_07:36:36_TAI@36s][131]{image},67,1,ok,
124,2015/8/24 7:26,20150824_072600_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\211,aia.lev1_euv_12s[2015.08.24_06:56:36_TAI-2015.08.24_07:36:36_TAI@36s][211]{image},66,1,ok,
124,2015/8/24 7:26,20150824_072600_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\304,aia.lev1_euv_12s[2015.08.24_06:56:36_TAI-2015.08.24_07:36:36_TAI@36s][304]{image},67,1,ok,
124,2015/8/24 7:26,20150824_072600_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_072600_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.08.24_06:56:36_TAI-2015.08.24_07:36:36_TAI]{continuum},55,1,ok,
125,2015/8/24 17:40,20150824_174000_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\131,aia.lev1_euv_12s[2015.08.24_17:10:36_TAI-2015.08.24_17:50:36_TAI@36s][131]{image},67,1,ok,
125,2015/8/24 17:40,20150824_174000_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\211,aia.lev1_euv_12s[2015.08.24_17:10:36_TAI-2015.08.24_17:50:36_TAI@36s][211]{image},67,1,ok,
125,2015/8/24 17:40,20150824_174000_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\304,aia.lev1_euv_12s[2015.08.24_17:10:36_TAI-2015.08.24_17:50:36_TAI@36s][304]{image},67,1,ok,
125,2015/8/24 17:40,20150824_174000_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150824_174000_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.08.24_17:10:36_TAI-2015.08.24_17:50:36_TAI]{continuum},54,1,ok,
126,2015/9/17 9:34,20150917_093400_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150917_093400_UTC\131,aia.lev1_euv_12s[2015.09.17_09:04:36_TAI-2015.09.17_09:44:36_TAI@36s][131]{image},67,1,ok,
126,2015/9/17 9:34,20150917_093400_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150917_093400_UTC\211,aia.lev1_euv_12s[2015.09.17_09:04:36_TAI-2015.09.17_09:44:36_TAI@36s][211]{image},67,1,ok,
126,2015/9/17 9:34,20150917_093400_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150917_093400_UTC\304,aia.lev1_euv_12s[2015.09.17_09:04:36_TAI-2015.09.17_09:44:36_TAI@36s][304]{image},67,1,ok,
126,2015/9/17 9:34,20150917_093400_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150917_093400_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.09.17_09:04:36_TAI-2015.09.17_09:44:36_TAI]{continuum},54,1,ok,
127,2015/9/27 10:20,20150927_102000_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_102000_UTC\131,aia.lev1_euv_12s[2015.09.27_09:50:36_TAI-2015.09.27_10:30:36_TAI@36s][131]{image},67,1,ok,
127,2015/9/27 10:20,20150927_102000_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_102000_UTC\211,aia.lev1_euv_12s[2015.09.27_09:50:36_TAI-2015.09.27_10:30:36_TAI@36s][211]{image},67,1,ok,
127,2015/9/27 10:20,20150927_102000_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_102000_UTC\304,aia.lev1_euv_12s[2015.09.27_09:50:36_TAI-2015.09.27_10:30:36_TAI@36s][304]{image},67,1,ok,
127,2015/9/27 10:20,20150927_102000_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_102000_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.09.27_09:50:36_TAI-2015.09.27_10:30:36_TAI]{continuum},55,1,ok,
128,2015/9/27 20:54,20150927_205400_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_205400_UTC\131,aia.lev1_euv_12s[2015.09.27_20:24:36_TAI-2015.09.27_21:04:36_TAI@36s][131]{image},67,1,ok,
128,2015/9/27 20:54,20150927_205400_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_205400_UTC\211,aia.lev1_euv_12s[2015.09.27_20:24:36_TAI-2015.09.27_21:04:36_TAI@36s][211]{image},67,1,ok,
128,2015/9/27 20:54,20150927_205400_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_205400_UTC\304,aia.lev1_euv_12s[2015.09.27_20:24:36_TAI-2015.09.27_21:04:36_TAI@36s][304]{image},67,1,ok,
128,2015/9/27 20:54,20150927_205400_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150927_205400_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.09.27_20:24:36_TAI-2015.09.27_21:04:36_TAI]{continuum},54,1,ok,
129,2015/9/28 7:27,20150928_072700_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150928_072700_UTC\131,aia.lev1_euv_12s[2015.09.28_06:57:36_TAI-2015.09.28_07:37:36_TAI@36s][131]{image},67,1,ok,
129,2015/9/28 7:27,20150928_072700_UTC,211,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150928_072700_UTC\211,aia.lev1_euv_12s[2015.09.28_06:57:36_TAI-2015.09.28_07:37:36_TAI@36s][211]{image},67,1,ok,
129,2015/9/28 7:27,20150928_072700_UTC,304,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150928_072700_UTC\304,aia.lev1_euv_12s[2015.09.28_06:57:36_TAI-2015.09.28_07:37:36_TAI@36s][304]{image},67,1,ok,
129,2015/9/28 7:27,20150928_072700_UTC,hmi.Ic_45s,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20150928_072700_UTC\hmi.Ic_45s,hmi.Ic_45s[2015.09.28_06:57:36_TAI-2015.09.28_07:37:36_TAI]{continuum},54,1,ok,
130,2015/11/4 13:31,20151104_133100_UTC,131,TRUE,0,C:\Learning\PHD2nd\sunspotscar\data\M\20151104_133100_UTC\131,aia.lev1_euv_12s[2015.11.04_13:01:36_TAI-2015.11.04_13:41:36_TAI@36s][131]{image},67,1,ok,
